"date","hour","total_trips"
2024-02-01,0,69
2024-02-01,1,46
2024-02-01,2,25
2024-02-01,3,19
2024-02-01,4,16
2024-02-01,5,54
2024-02-01,6,199
2024-02-01,7,479
2024-02-01,8,1076
2024-02-01,9,639
2024-02-01,10,415
2024-02-01,11,396
2024-02-01,12,483
2024-02-01,13,435
2024-02-01,14,519
2024-02-01,15,560
2024-02-01,16,832
2024-02-01,17,1275
2024-02-01,18,985
2024-02-01,19,692
2024-02-01,20,519
2024-02-01,21,478
2024-02-01,22,294
2024-02-01,23,214
2024-02-02,0,102
2024-02-02,1,62
2024-02-02,2,47
2024-02-02,3,20
2024-02-02,4,26
2024-02-02,5,69
2024-02-02,6,185
2024-02-02,7,365
2024-02-02,8,729
2024-02-02,9,540
2024-02-02,10,399
2024-02-02,11,468
2024-02-02,12,513
2024-02-02,13,624
2024-02-02,14,638
2024-02-02,15,701
2024-02-02,16,904
2024-02-02,17,1041
2024-02-02,18,824
2024-02-02,19,571
2024-02-02,20,419
2024-02-02,21,296
2024-02-02,22,278
2024-02-02,23,226
2024-02-03,0,154
2024-02-03,1,125
2024-02-03,2,105
2024-02-03,3,56
2024-02-03,4,21
2024-02-03,5,33
2024-02-03,6,50
2024-02-03,7,122
2024-02-03,8,209
2024-02-03,9,373
2024-02-03,10,468
2024-02-03,11,519
2024-02-03,12,623
2024-02-03,13,752
2024-02-03,14,782
2024-02-03,15,859
2024-02-03,16,749
2024-02-03,17,754
2024-02-03,18,560
2024-02-03,19,482
2024-02-03,20,356
2024-02-03,21,276
2024-02-03,22,229
2024-02-03,23,190
2024-02-04,0,162
2024-02-04,1,137
2024-02-04,2,108
2024-02-04,3,62
2024-02-04,4,20
2024-02-04,5,33
2024-02-04,6,55
2024-02-04,7,105
2024-02-04,8,181
2024-02-04,9,327
2024-02-04,10,417
2024-02-04,11,542
2024-02-04,12,573
2024-02-04,13,726
2024-02-04,14,768
2024-02-04,15,729
2024-02-04,16,695
2024-02-04,17,579
2024-02-04,18,519
2024-02-04,19,341
2024-02-04,20,271
2024-02-04,21,253
2024-02-04,22,185
2024-02-04,23,134
2024-02-05,0,65
2024-02-05,1,39
2024-02-05,2,32
2024-02-05,3,19
2024-02-05,4,25
2024-02-05,5,75
2024-02-05,6,201
2024-02-05,7,453
2024-02-05,8,919
2024-02-05,9,554
2024-02-05,10,319
2024-02-05,11,393
2024-02-05,12,507
2024-02-05,13,486
2024-02-05,14,484
2024-02-05,15,575
2024-02-05,16,854
2024-02-05,17,1177
2024-02-05,18,913
2024-02-05,19,621
2024-02-05,20,443
2024-02-05,21,385
2024-02-05,22,241
2024-02-05,23,148
2024-02-06,0,92
2024-02-06,1,36
2024-02-06,2,35
2024-02-06,3,13
2024-02-06,4,34
2024-02-06,5,93
2024-02-06,6,207
2024-02-06,7,519
2024-02-06,8,1186
2024-02-06,9,605
2024-02-06,10,381
2024-02-06,11,388
2024-02-06,12,542
2024-02-06,13,488
2024-02-06,14,548
2024-02-06,15,624
2024-02-06,16,958
2024-02-06,17,1366
2024-02-06,18,1051
2024-02-06,19,688
2024-02-06,20,517
2024-02-06,21,367
2024-02-06,22,249
2024-02-06,23,163
2024-02-07,0,66
2024-02-07,1,39
2024-02-07,2,26
2024-02-07,3,18
2024-02-07,4,15
2024-02-07,5,81
2024-02-07,6,194
2024-02-07,7,480
2024-02-07,8,1159
2024-02-07,9,686
2024-02-07,10,407
2024-02-07,11,414
2024-02-07,12,529
2024-02-07,13,482
2024-02-07,14,484
2024-02-07,15,594
2024-02-07,16,928
2024-02-07,17,1386
2024-02-07,18,1022
2024-02-07,19,737
2024-02-07,20,500
2024-02-07,21,407
2024-02-07,22,280
2024-02-07,23,189
2024-02-08,0,90
2024-02-08,1,40
2024-02-08,2,25
2024-02-08,3,16
2024-02-08,4,17
2024-02-08,5,71
2024-02-08,6,224
2024-02-08,7,496
2024-02-08,8,1078
2024-02-08,9,644
2024-02-08,10,421
2024-02-08,11,435
2024-02-08,12,492
2024-02-08,13,511
2024-02-08,14,540
2024-02-08,15,667
2024-02-08,16,967
2024-02-08,17,1393
2024-02-08,18,1104
2024-02-08,19,743
2024-02-08,20,541
2024-02-08,21,403
2024-02-08,22,270
2024-02-08,23,198
2024-02-09,0,125
2024-02-09,1,58
2024-02-09,2,34
2024-02-09,3,14
2024-02-09,4,35
2024-02-09,5,74
2024-02-09,6,173
2024-02-09,7,403
2024-02-09,8,848
2024-02-09,9,549
2024-02-09,10,475
2024-02-09,11,522
2024-02-09,12,687
2024-02-09,13,753
2024-02-09,14,761
2024-02-09,15,877
2024-02-09,16,1192
2024-02-09,17,1351
2024-02-09,18,1041
2024-02-09,19,718
2024-02-09,20,505
2024-02-09,21,435
2024-02-09,22,417
2024-02-09,23,313
2024-02-10,0,240
2024-02-10,1,180
2024-02-10,2,140
2024-02-10,3,80
2024-02-10,4,47
2024-02-10,5,38
2024-02-10,6,70
2024-02-10,7,143
2024-02-10,8,238
2024-02-10,9,420
2024-02-10,10,571
2024-02-10,11,750
2024-02-10,12,910
2024-02-10,13,940
2024-02-10,14,919
2024-02-10,15,902
2024-02-10,16,882
2024-02-10,17,677
2024-02-10,18,615
2024-02-10,19,452
2024-02-10,20,361
2024-02-10,21,297
2024-02-10,22,258
2024-02-10,23,233
2024-02-11,0,192
2024-02-11,1,120
2024-02-11,2,112
2024-02-11,3,76
2024-02-11,4,29
2024-02-11,5,26
2024-02-11,6,63
2024-02-11,7,119
2024-02-11,8,190
2024-02-11,9,318
2024-02-11,10,417
2024-02-11,11,536
2024-02-11,12,578
2024-02-11,13,598
2024-02-11,14,623
2024-02-11,15,598
2024-02-11,16,660
2024-02-11,17,693
2024-02-11,18,519
2024-02-11,19,325
2024-02-11,20,247
2024-02-11,21,197
2024-02-11,22,242
2024-02-11,23,343
2024-02-12,0,81
2024-02-12,1,40
2024-02-12,2,28
2024-02-12,3,13
2024-02-12,4,24
2024-02-12,5,70
2024-02-12,6,182
2024-02-12,7,458
2024-02-12,8,965
2024-02-12,9,572
2024-02-12,10,334
2024-02-12,11,386
2024-02-12,12,500
2024-02-12,13,493
2024-02-12,14,482
2024-02-12,15,595
2024-02-12,16,817
2024-02-12,17,1268
2024-02-12,18,887
2024-02-12,19,630
2024-02-12,20,478
2024-02-12,21,350
2024-02-12,22,262
2024-02-12,23,123
2024-02-13,0,65
2024-02-13,1,41
2024-02-13,2,28
2024-02-13,3,23
2024-02-13,4,24
2024-02-13,5,93
2024-02-13,6,241
2024-02-13,7,541
2024-02-13,8,1180
2024-02-13,9,599
2024-02-13,10,380
2024-02-13,11,425
2024-02-13,12,475
2024-02-13,13,491
2024-02-13,14,433
2024-02-13,15,587
2024-02-13,16,811
2024-02-13,17,1156
2024-02-13,18,857
2024-02-13,19,587
2024-02-13,20,431
2024-02-13,21,366
2024-02-13,22,200
2024-02-13,23,184
2024-02-14,0,71
2024-02-14,1,44
2024-02-14,2,36
2024-02-14,3,15
2024-02-14,4,17
2024-02-14,5,52
2024-02-14,6,183
2024-02-14,7,410
2024-02-14,8,943
2024-02-14,9,577
2024-02-14,10,379
2024-02-14,11,382
2024-02-14,12,501
2024-02-14,13,485
2024-02-14,14,460
2024-02-14,15,571
2024-02-14,16,815
2024-02-14,17,1239
2024-02-14,18,874
2024-02-14,19,626
2024-02-14,20,388
2024-02-14,21,289
2024-02-14,22,252
2024-02-14,23,144
2024-02-15,0,91
2024-02-15,1,55
2024-02-15,2,36
2024-02-15,3,17
2024-02-15,4,26
2024-02-15,5,78
2024-02-15,6,185
2024-02-15,7,464
2024-02-15,8,980
2024-02-15,9,614
2024-02-15,10,354
2024-02-15,11,378
2024-02-15,12,393
2024-02-15,13,179
2024-02-15,14,110
2024-02-15,15,118
2024-02-15,16,179
2024-02-15,17,268
2024-02-15,18,277
2024-02-15,19,243
2024-02-15,20,171
2024-02-15,21,132
2024-02-15,22,107
2024-02-15,23,90
2024-02-16,0,39
2024-02-16,1,25
2024-02-16,2,18
2024-02-16,3,17
2024-02-16,4,15
2024-02-16,5,41
2024-02-16,6,93
2024-02-16,7,163
2024-02-16,8,312
2024-02-16,9,271
2024-02-16,10,187
2024-02-16,11,271
2024-02-16,12,333
2024-02-16,13,369
2024-02-16,14,399
2024-02-16,15,429
2024-02-16,16,489
2024-02-16,17,620
2024-02-16,18,519
2024-02-16,19,434
2024-02-16,20,256
2024-02-16,21,220
2024-02-16,22,186
2024-02-16,23,151
2024-02-17,0,98
2024-02-17,1,73
2024-02-17,2,64
2024-02-17,3,26
2024-02-17,4,35
2024-02-17,5,25
2024-02-17,6,32
2024-02-17,7,73
2024-02-17,8,137
2024-02-17,9,239
2024-02-17,10,295
2024-02-17,11,343
2024-02-17,12,398
2024-02-17,13,407
2024-02-17,14,399
2024-02-17,15,407
2024-02-17,16,380
2024-02-17,17,407
2024-02-17,18,337
2024-02-17,19,304
2024-02-17,20,228
2024-02-17,21,185
2024-02-17,22,143
2024-02-17,23,132
2024-02-18,0,91
2024-02-18,1,87
2024-02-18,2,57
2024-02-18,3,27
2024-02-18,4,23
2024-02-18,5,22
2024-02-18,6,47
2024-02-18,7,74
2024-02-18,8,114
2024-02-18,9,204
2024-02-18,10,254
2024-02-18,11,300
2024-02-18,12,335
2024-02-18,13,344
2024-02-18,14,376
2024-02-18,15,381
2024-02-18,16,371
2024-02-18,17,346
2024-02-18,18,319
2024-02-18,19,241
2024-02-18,20,187
2024-02-18,21,137
2024-02-18,22,119
2024-02-18,23,78
2024-02-19,0,69
2024-02-19,1,46
2024-02-19,2,41
2024-02-19,3,29
2024-02-19,4,23
2024-02-19,5,25
2024-02-19,6,36
2024-02-19,7,77
2024-02-19,8,117
2024-02-19,9,164
2024-02-19,10,219
2024-02-19,11,303
2024-02-19,12,374
2024-02-19,13,388
2024-02-19,14,343
2024-02-19,15,364
2024-02-19,16,359
2024-02-19,17,353
2024-02-19,18,381
2024-02-19,19,261
2024-02-19,20,212
2024-02-19,21,188
2024-02-19,22,123
2024-02-19,23,76
2024-02-20,0,48
2024-02-20,1,20
2024-02-20,2,18
2024-02-20,3,20
2024-02-20,4,30
2024-02-20,5,80
2024-02-20,6,206
2024-02-20,7,434
2024-02-20,8,927
2024-02-20,9,524
2024-02-20,10,337
2024-02-20,11,323
2024-02-20,12,403
2024-02-20,13,421
2024-02-20,14,440
2024-02-20,15,545
2024-02-20,16,745
2024-02-20,17,1249
2024-02-20,18,888
2024-02-20,19,628
2024-02-20,20,410
2024-02-20,21,332
2024-02-20,22,224
2024-02-20,23,151
2024-02-21,0,59
2024-02-21,1,34
2024-02-21,2,30
2024-02-21,3,19
2024-02-21,4,28
2024-02-21,5,66
2024-02-21,6,204
2024-02-21,7,495
2024-02-21,8,1121
2024-02-21,9,614
2024-02-21,10,392
2024-02-21,11,405
2024-02-21,12,492
2024-02-21,13,503
2024-02-21,14,482
2024-02-21,15,620
2024-02-21,16,942
2024-02-21,17,1410
2024-02-21,18,1051
2024-02-21,19,705
2024-02-21,20,504
2024-02-21,21,376
2024-02-21,22,298
2024-02-21,23,194
2024-02-22,0,110
2024-02-22,1,57
2024-02-22,2,41
2024-02-22,3,23
2024-02-22,4,27
2024-02-22,5,84
2024-02-22,6,229
2024-02-22,7,551
2024-02-22,8,1195
2024-02-22,9,654
2024-02-22,10,407
2024-02-22,11,469
2024-02-22,12,516
2024-02-22,13,492
2024-02-22,14,544
2024-02-22,15,676
2024-02-22,16,949
2024-02-22,17,1485
2024-02-22,18,1153
2024-02-22,19,799
2024-02-22,20,504
2024-02-22,21,430
2024-02-22,22,327
2024-02-22,23,211
2024-02-23,0,110
2024-02-23,1,77
2024-02-23,2,37
2024-02-23,3,18
2024-02-23,4,20
2024-02-23,5,85
2024-02-23,6,208
2024-02-23,7,412
2024-02-23,8,851
2024-02-23,9,546
2024-02-23,10,430
2024-02-23,11,520
2024-02-23,12,637
2024-02-23,13,631
2024-02-23,14,702
2024-02-23,15,740
2024-02-23,16,969
2024-02-23,17,1096
2024-02-23,18,811
2024-02-23,19,557
2024-02-23,20,368
2024-02-23,21,311
2024-02-23,22,208
2024-02-23,23,155
2024-02-24,0,119
2024-02-24,1,75
2024-02-24,2,86
2024-02-24,3,36
2024-02-24,4,16
2024-02-24,5,25
2024-02-24,6,39
2024-02-24,7,108
2024-02-24,8,157
2024-02-24,9,307
2024-02-24,10,325
2024-02-24,11,395
2024-02-24,12,430
2024-02-24,13,455
2024-02-24,14,505
2024-02-24,15,487
2024-02-24,16,540
2024-02-24,17,512
2024-02-24,18,475
2024-02-24,19,373
2024-02-24,20,270
2024-02-24,21,204
2024-02-24,22,183
2024-02-24,23,133
2024-02-25,0,132
2024-02-25,1,75
2024-02-25,2,86
2024-02-25,3,41
2024-02-25,4,28
2024-02-25,5,21
2024-02-25,6,55
2024-02-25,7,101
2024-02-25,8,168
2024-02-25,9,307
2024-02-25,10,382
2024-02-25,11,444
2024-02-25,12,511
2024-02-25,13,592
2024-02-25,14,558
2024-02-25,15,563
2024-02-25,16,500
2024-02-25,17,562
2024-02-25,18,495
2024-02-25,19,363
2024-02-25,20,302
2024-02-25,21,274
